id,range_names,Clipper Invocations,Post-Clip Primitives,CS Invocations,DS Invocations,GPU Elapsed Time,GS Invocations,Post-GS Primitives,HS Invocations,Primitive Count,Vertex Count,VS Invocations,Pixels Rendered,PS Invocations
1886,DrawIndexed,644,644,0,0,26,0,0,0,644,1932,1284,0,0
1887,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1888,DrawIndexed,644,644,0,0,14,0,0,0,644,1932,1284,0,0
1889,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1890,DrawIndexed,644,644,0,0,14,0,0,0,644,1932,1284,0,0
1891,DrawIndexed,644,644,0,0,14,0,0,0,644,1932,1284,0,0
1892,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1893,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1894,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1895,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1896,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1897,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1898,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1899,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1900,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1901,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1902,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1903,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1904,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1905,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1906,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1907,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1908,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1909,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1910,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1911,DrawIndexed,644,644,0,0,14,0,0,0,644,1932,1284,0,0
1912,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1913,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1914,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1915,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1916,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1917,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1918,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1919,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1920,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1921,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1922,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1923,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1924,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1925,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1926,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1927,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1928,DrawIndexed,1103,1103,0,0,14,0,0,0,1103,3309,1905,0,0
1929,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1930,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1931,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1932,DrawIndexed,1103,1103,0,0,17,0,0,0,1103,3309,1905,0,0
1933,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1934,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1935,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1936,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1937,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1938,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1939,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1940,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1941,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1942,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1943,DrawIndexed,644,644,0,0,14,0,0,0,644,1932,1284,0,0
1944,DrawIndexed,644,644,0,0,14,0,0,0,644,1932,1284,0,0
1945,DrawIndexed,644,644,0,0,14,0,0,0,644,1932,1284,0,0
1946,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1947,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1948,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1949,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
