id,range_names,GPU Elapsed Time
588,DrawIndexed,7.2
589,DrawIndexed,12
590,DrawIndexed,8.48
591,DrawIndexed,7.44
592,DrawIndexed,7.04
593,DrawIndexed,6.76
594,DrawIndexed,6.68
595,DrawIndexed,46.52
596,DrawIndexed,67.2
597,DrawIndexed,8.72
598,DrawIndexed,332.96
599,DrawIndexed,11.88
600,DrawIndexed,7.28
601,DrawIndexed,98.88
602,DrawIndexed,46.92
603,DrawIndexed,7.48
604,DrawIndexed,7.4
605,DrawIndexed,7.08
606,DrawIndexed,474.12
607,DrawIndexed,97.44
608,DrawIndexed,6.76
609,DrawIndexed,6.88
610,DrawIndexed,6.68
611,DrawIndexed,160.76
612,DrawIndexed,98.4
613,DrawIndexed,6.92
614,DrawIndexed,10.52
615,DrawIndexed,47.52
616,DrawIndexed,8.96
617,DrawIndexed,103.4
618,DrawIndexed,189.8
619,DrawIndexed,6.88
620,DrawIndexed,7.24
621,DrawIndexed,8.84
622,DrawIndexed,7.08
623,DrawIndexed,7.4
624,DrawIndexed,7.36
625,DrawIndexed,7.12
626,DrawIndexed,11.32
627,DrawIndexed,7.04
628,DrawIndexed,6.72
629,DrawIndexed,8.92
630,DrawIndexed,8.8
631,DrawIndexed,9.92
632,DrawIndexed,10.2
633,DrawIndexed,156.96
634,DrawIndexed,110.56
635,DrawIndexed,9.08
636,DrawIndexed,102
637,DrawIndexed,7.92
638,DrawIndexed,7.28
639,DrawIndexed,7.24
640,DrawIndexed,8.28
641,DrawIndexed,7.24
642,DrawIndexed,173.32
643,DrawIndexed,7.64
644,DrawIndexed,6.88
645,DrawIndexed,7.36
646,DrawIndexed,47.56
647,DrawIndexed,7.32
648,DrawIndexed,78.6
649,DrawIndexed,7.04
650,DrawIndexed,7.8
651,DrawIndexed,6.92
652,DrawIndexed,9.84
653,DrawIndexed,10.48
654,DrawIndexed,8.36
655,DrawIndexed,7.48
656,DrawIndexed,7.84
657,DrawIndexed,61
658,DrawIndexed,7.52
659,DrawIndexed,7.08
660,DrawIndexed,46.44
661,DrawIndexed,63.4
662,DrawIndexed,7.36
663,DrawIndexed,9.4
664,DrawIndexed,45.24
665,DrawIndexed,8.24
666,DrawIndexed,44.24
667,DrawIndexed,7.2
668,DrawIndexed,75.08
669,DrawIndexed,104.68
670,DrawIndexed,6.92
671,DrawIndexed,6.88
672,DrawIndexed,46.52
673,DrawIndexed,6
674,DrawIndexed,7.52
675,DrawIndexed,10.72
676,DrawIndexed,7.24
677,DrawIndexed,44.88
678,DrawIndexed,7.08
679,DrawIndexed,8.64
680,DrawIndexed,7.64
681,DrawIndexed,6.36
682,DrawIndexed,50.76
683,DrawIndexed,7.44
684,DrawIndexed,86.6
685,DrawIndexed,47.32
686,DrawIndexed,6.88
687,DrawIndexed,118.12
688,DrawIndexed,7.12
689,DrawIndexed,5.84
690,DrawIndexed,7.08
691,DrawIndexed,7.24
692,DrawIndexed,7.12
693,DrawIndexed,9.88
694,DrawIndexed,11.04
695,DrawIndexed,9.36
696,DrawIndexed,7.48
697,DrawIndexed,98.92
698,DrawIndexed,6.44
699,DrawIndexed,8.04
700,DrawIndexed,6.84
701,DrawIndexed,6.2
702,DrawIndexed,6.8
703,DrawIndexed,5.88
704,DrawIndexed,78.72
705,DrawIndexed,6.76
706,DrawIndexed,51
707,DrawIndexed,7.24
708,DrawIndexed,6.88
709,DrawIndexed,8.04
710,DrawIndexed,6.56
711,DrawIndexed,104.2
712,DrawIndexed,8.24
713,DrawIndexed,7.84
714,DrawIndexed,6.84
715,DrawIndexed,52.44
716,DrawIndexed,67.56
717,DrawIndexed,46.76
718,DrawIndexed,13.56
719,DrawIndexed,14.44
